Date,Location,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2021-06-24,Nizamabad,40,283.58,0.15,4.5275,39.74208333333333,4.2091666666666665,10.356666666666667,12.069583333333334,2.8304166666666664
2021-06-24,Warangal,32,391.365,0.4333333333333333,6.675,31.74208333333333,1.274166666666667,17.836666666666666,22.56041666666667,4.60875
2021-06-25,Adilabad,26,281.49375000000003,0.1154166666666666,6.13375,26.315416666666664,3.18625,8.746666666666666,9.838333333333331,1.8954166666666667
2021-06-25,Karimnagar,29,268.2808333333333,0.2183333333333333,5.178333333333334,28.647916666666664,3.780833333333333,6.2525,7.6475,2.552083333333333
2021-06-25,Khammam,39,259.9375,0.0883333333333333,2.50125,39.20458333333333,0.87,4.236666666666667,5.4925,3.077083333333333
2021-06-25,Nizamabad,24,253.26083333333332,0.1133333333333333,5.149166666666667,23.75958333333333,4.158333333333333,5.759166666666666,7.02625,2.6991666666666667
2021-06-25,Warangal,31,261.46583333333336,0.115,3.6770833333333335,30.874583333333334,1.3383333333333332,4.61875,5.864999999999999,2.8025
2021-06-26,Adilabad,35,269.81125000000003,0.1308333333333333,4.815416666666667,35.3525,2.4775,6.328333333333333,7.750833333333333,2.6933333333333334
2021-06-26,Karimnagar,40,289.005,0.1845833333333333,5.048333333333333,40.3825,3.3175000000000003,7.828333333333333,9.525833333333331,2.668333333333333
2021-06-26,Khammam,35,290.1154166666667,0.03375,3.499166666666667,34.72708333333333,1.2383333333333333,6.85875,7.915,1.7991666666666666
2021-06-26,Nizamabad,41,273.70458333333335,0.2420833333333333,4.347083333333333,41.336666666666666,2.449583333333333,7.418333333333333,8.866666666666667,2.5420833333333333
2021-06-26,Warangal,37,303.74583333333334,0.075,5.009166666666666,37.335,1.805,7.72625,9.48875,2.8366666666666664
2021-06-27,Adilabad,34,255.06833333333336,0.0341666666666666,5.652083333333334,34.13166666666667,5.301666666666667,10.832916666666668,12.51,1.9745833333333331
2021-06-27,Karimnagar,33,284.97,0.0716666666666666,4.488333333333333,33.33375,2.8695833333333334,6.2725,7.465416666666666,2.1154166666666665
2021-06-27,Khammam,28,323.9120833333333,0.07875,4.5075,27.502916666666668,1.86875,10.517083333333334,11.88375,1.2425
2021-06-27,Nizamabad,26,260.91041666666666,0.0583333333333333,3.66875,25.57875,1.3891666666666669,5.494583333333334,6.8975,2.875833333333333
2021-06-27,Warangal,29,322.5208333333333,0.10625,5.65875,29.21333333333333,1.75,7.297083333333333,9.005,2.2504166666666667
2021-06-28,Adilabad,42,321.40916666666664,0.29625,7.810416666666666,42.0175,5.289583333333334,15.192916666666669,16.732083333333332,1.8516666666666663
2021-06-28,Karimnagar,43,335.1775,0.2404166666666666,6.405,42.65416666666667,4.208333333333333,10.840833333333334,12.743333333333332,2.4320833333333334
2021-06-28,Khammam,60,331.42333333333335,0.1491666666666666,4.42,60.11958333333333,5.625,21.7225,23.67125,1.325
