,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
494,Karimnagar,JAN,2017,01-01-17,31-01-17,1483209000,1485801000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
495,Karimnagar,FEB,2017,01-02-17,28-02-17,1485887400,1488220200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
496,Karimnagar,MAR,2017,01-03-17,31-03-17,1488306600,1490898600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
497,Karimnagar,APR,2017,01-04-17,30-04-17,1490985000,1493490600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
498,Karimnagar,MAY,2017,01-05-17,31-05-17,1493577000,1496169000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
499,Karimnagar,JUN,2017,01-06-17,30-06-17,1496255400,1498761000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
500,Karimnagar,JUL,2017,01-07-17,31-07-17,1498847400,1501439400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
501,Karimnagar,AUG,2017,01-08-17,31-08-17,1501525800,1504117800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
502,Karimnagar,SEP,2017,01-09-17,30-09-17,1504204200,1506709800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
503,Karimnagar,OCT,2017,01-10-17,31-10-17,1506796200,1509388200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
504,Karimnagar,NOV,2017,01-11-17,30-11-17,1509474600,1511980200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
505,Karimnagar,DEC,2017,01-12-17,31-12-17,1512066600,1514658600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
506,Khammam,JAN,2017,01-01-17,31-01-17,1483209000,1485801000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
507,Khammam,FEB,2017,01-02-17,28-02-17,1485887400,1488220200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
508,Khammam,MAR,2017,01-03-17,31-03-17,1488306600,1490898600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
509,Khammam,APR,2017,01-04-17,30-04-17,1490985000,1493490600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
510,Khammam,MAY,2017,01-05-17,31-05-17,1493577000,1496169000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
511,Khammam,JUN,2017,01-06-17,30-06-17,1496255400,1498761000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
512,Khammam,JUL,2017,01-07-17,31-07-17,1498847400,1501439400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
513,Khammam,AUG,2017,01-08-17,31-08-17,1501525800,1504117800,"Khammam, Telangana, India",lat=17.5&lon=80.333333
514,Khammam,SEP,2017,01-09-17,30-09-17,1504204200,1506709800,"Khammam, Telangana, India",lat=17.5&lon=80.333333
515,Khammam,OCT,2017,01-10-17,31-10-17,1506796200,1509388200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
516,Khammam,NOV,2017,01-11-17,30-11-17,1509474600,1511980200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
517,Khammam,DEC,2017,01-12-17,31-12-17,1512066600,1514658600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
518,Adilabad,JAN,2016,01-01-16,31-01-16,1451586600,1454178600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
519,Adilabad,FEB,2016,01-02-16,29-02-16,1454265000,1456684200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
520,Adilabad,MAR,2016,01-03-16,31-03-16,1456770600,1459362600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
