Date,Location,AQI,NO2,SO2,PM2.5,PM10
2023-01-01,Adilabad,79.97687866617704,11.532428522495282,14.1190068363163,64.29497484603142,71.21369522029974
2023-01-02,Adilabad,126.96058978622725,14.899932492232333,26.24632592266316,101.7680237452823,110.37170914680016
2023-01-03,Adilabad,137.9727700885886,15.100806517344598,22.18911747478059,110.4052421471029,119.42221883311817
2023-01-04,Adilabad,132.9885808502844,14.997074982774423,24.111602987352416,106.73807202985856,115.29587867095807
2023-01-05,Adilabad,102.01216618595652,11.063795831672866,16.19348676609384,81.33554386771328,88.10012026859056
2023-01-06,Adilabad,84.01748154541666,10.043779402719013,10.536026260360147,67.5656623475362,72.95121543002195
2023-01-07,Adilabad,140.9775187440859,15.521193357186329,32.11834437497815,112.92004626438734,121.01720521658928
2023-01-08,Adilabad,145.98733480922968,13.35417492641549,12.028627666052362,116.95904189474456,125.90238624400962
2023-01-09,Adilabad,136.00315037866784,14.864989291647348,28.109359272728263,108.6994716065864,116.80460596545495
2023-01-10,Adilabad,138.00825323855292,14.056686811826946,26.49457080284287,110.6020356108452,119.70420859997394
2023-01-11,Adilabad,123.0276046339961,14.597122692027355,16.36532968563207,98.58144476977334,107.46199867116952
2023-01-12,Adilabad,198.9850687051346,16.39294835101428,26.481261633908105,176.56670206375864,187.7708805707228
2023-01-13,Adilabad,209.9717483435373,14.211336031519126,31.035656775006174,191.17987859996936,198.87342328622915
2023-01-14,Adilabad,176.4936618239454,17.413995003929717,32.753518857953914,150.80255461543152,156.8906428320577
2023-01-15,Adilabad,116.0477071184186,12.14356921445073,25.57698542462305,99.67242063308302,105.25974385170616
2023-01-16,Adilabad,66.06293438266641,6.719127161074567,7.565936711152964,56.16689545212088,60.37286032038044
2023-01-17,Adilabad,122.86443303136797,7.60542188328004,6.188173135720835,103.0156223070936,107.13137463445152
2023-01-18,Adilabad,196.7685214992811,18.28074324694737,44.54260960476224,167.60756920284197,175.5014125861746
2023-01-19,Adilabad,171.15991231772682,14.131537268801376,7.558123153364898,156.84051250491808,165.43179682407307
2023-01-20,Adilabad,151.92956671660986,11.692072291802798,26.3462918887354,133.68955618081063,140.62462467148987
2023-01-21,Adilabad,141.63323391188308,12.28405313551268,15.727456701986876,118.28898748208935,127.0193957092694
2023-01-22,Adilabad,136.0835845081853,12.448292286707188,7.976028672011148,116.61479258653068,123.70524666475748
2023-01-23,Adilabad,144.9959301418127,8.47642237841197,13.074450186081233,135.21278404820055,141.063144022826
2023-01-24,Adilabad,96.81564130546911,9.084032028397289,9.575571848857752,90.35949693534818,95.35679383576384
2023-01-25,Adilabad,110.53003668142118,14.867636826826107,29.85405848740155,80.32330509077366,86.2247821869058
2023-01-26,Adilabad,62.5167821642406,10.055196140147793,9.092188347079864,46.37712341963676,53.51861134896761
2023-01-27,Adilabad,62.975582674563526,11.921437693842414,8.53847056857158,48.16760743278361,55.011583303770735
2023-01-28,Adilabad,106.30094994863876,11.253210261817664,11.848932699500226,86.1686287973093,93.80170942948222
2023-01-29,Adilabad,103.16369243790604,16.60666850239445,23.99662841218021,87.47993209033447,94.12895159904512
2023-01-30,Adilabad,163.5967881973928,18.714907039553072,29.032407050163204,138.31410331491583,146.698777688181
2023-01-31,Adilabad,144.8304108876294,8.939504933261425,8.039829327313903,114.10706337579244,121.94584653155329
2023-02-01,Adilabad,116.93081544505544,14.39582133139676,24.63055467766466,89.58393237662042,96.77601932229652
2023-02-02,Adilabad,147.5475025464002,12.24715234309568,17.323232444957917,120.08652658976008,126.99396881870425
2023-02-03,Adilabad,87.70470158282079,12.294557806567113,6.799055774798753,67.88715746480571,74.16103178187366
2023-02-04,Adilabad,137.4217705374906,8.98040694469013,13.41669255034552,125.79417329314856,131.01045077788368
2023-02-05,Adilabad,131.1746814221824,9.970892039978786,15.232705580949116,113.46382656801865,118.11423667645758
2023-02-06,Adilabad,106.55301369936716,15.005931609908632,26.300841388214334,81.30328319270735,87.77794873851882
2023-02-07,Adilabad,64.36958195567223,11.016136264939572,9.1370077967652,44.91935528138352,55.76182485356578
2023-02-08,Adilabad,108.25558843229238,10.006134385226112,11.259292490363674,67.54008223946697,135.82449859657018
2023-02-09,Adilabad,119.22777359375544,8.244346507404195,8.544830126674995,82.9060435204036,97.91942165561682
2023-02-10,Adilabad,93.66538574297104,11.440089208652845,17.99087650848483,55.59000902775842,68.6101592232243
2023-02-11,Adilabad,87.19328360618596,10.261479184566529,13.137616887060824,67.10252723440836,78.22483481285654
2023-02-12,Adilabad,66.05959297897175,3.880581933707686,1.0970530549934443,40.77744526764014,51.2539067064118
2023-02-13,Adilabad,59.37824188312726,8.477454845245756,5.870992031155099,32.71910296808774,41.22488519724997
2023-02-14,Adilabad,71.52071694667151,7.71799229472834,5.84290644991636,56.921797671538414,65.30420065464789
2023-02-15,Adilabad,81.7863504112747,10.094482159480298,5.89584205665706,61.66065652822591,73.0459036132733
2023-02-16,Adilabad,135.48988097143794,6.333439355975052,13.106643483957985,130.3304716004786,138.75108369789876
2023-02-17,Adilabad,81.92827186852728,10.013525563555088,9.252388456568417,58.54845350892866,66.96449039257084
2023-02-18,Adilabad,80.17415595679712,14.036436180599386,19.96091213584191,55.27828635600176,65.00555136795515
2023-02-19,Adilabad,79.5456244828758,9.26876501850595,12.26366232678871,43.32264240520043,70.17339586306831
2023-02-20,Adilabad,76.84343843209892,7.9977514589121235,14.53142148615236,50.66103912137518,48.146719866421535
2023-02-21,Adilabad,102.17298340425816,5.820035916338671,8.823012776975533,61.13206298234624,66.70481074808222
