Region,Sation,Month,Year,SQ2,NOx,PM10,PM2.5,NH3,AQI
Adilabad,Mandamarri,NOV,2017,6,21,63,28,15,61
Adilabad,Mandamarri,DEC,2017,6,21,64,28,18,59
Nizamabad,Subhasnagar,JAN,2017,5,20,61,32,21,64
Nizamabad,Subhasnagar,FEB,2017,5,20,62,30,21,64
Nizamabad,Subhasnagar,MAR,2017,5,21,63,31,21,68
Nizamabad,Subhasnagar,APR,2017,5,20,67,34,21,69
Nizamabad,Subhasnagar,MAY,2017,5,20,68,33,21,71
Nizamabad,Subhasnagar,JUN,2017,5,20,63,30,17,66
Nizamabad,Subhasnagar,JUL,2017,5,21,57,26,17,62
Nizamabad,Subhasnagar,AUG,2017,5,21,59,27,17,60
Nizamabad,Subhasnagar,SEP,2017,5,21,60,27,17,61
Nizamabad,Subhasnagar,OCT,2017,6,21,59,28,17,65
Nizamabad,Subhasnagar,NOV,2017,6,21,59,27,17,63
Nizamabad,Subhasnagar,DEC,2017,6,22,59,26,18,64
Warangal,KUDA,JAN,2017,8,26,73,,22,73
Warangal,KUDA,FEB,2017,8,27,70,,22,70
Warangal,KUDA,MAR,2017,7,25,65,,21,65
Warangal,KUDA,APR,2017,8,27,74,,26,74
Warangal,KUDA,MAY,2017,8,27,71,,26,71
Warangal,KUDA,JUN,2017,7,24.3,63,,22,63
Warangal,KUDA,JUL,2017,7,24,58,,23,59
Warangal,KUDA,AUG,2017,7,22,52,,23,56
Warangal,KUDA,SEP,2017,7,23,68,,20,68
Warangal,KUDA,OCT,2017,8,18,59,,39,59
Warangal,KUDA,NOV,2017,7,24,65,,22,65
Warangal,KUDA,DEC,2017,7.8,24.6,70,,23,70
Warangal,Mee-Seva,JAN,2017,8,25,73,,22,76
Warangal,Mee-Seva,FEB,2017,8,27,70,,25,78
Warangal,Mee-Seva,MAR,2017,8,27,65,,22,71
Warangal,Mee-Seva,APR,2017,8,28,74,,28,72
Warangal,Mee-Seva,MAY,2017,8,27,71,,27,68
Warangal,Mee-Seva,JUN,2017,7.1,23.6,63,,21,61
Warangal,Mee-Seva,JUL,2017,6,26,58,,23,48
Warangal,Mee-Seva,AUG,2017,6,22,52,,21,60
Warangal,Mee-Seva,SEP,2017,6,20,68,,21,62
Warangal,Mee-Seva,OCT,2017,9,24,59,,37,62
Warangal,Mee-Seva,NOV,2017,7,27,65,,23,76
Warangal,Mee-Seva,DEC,2017,7.2,27.3,70,,23,78
Karimnagar,Godavarikhani,JAN,2017,8,29,112,,23,107
Karimnagar,Godavarikhani,FEB,2017,8,26,101,,22,98
Karimnagar,Godavarikhani,MAR,2017,7,27,73,,22,73
Karimnagar,Godavarikhani,APR,2017,8,26,79,,23,79
Karimnagar,Godavarikhani,MAY,2017,8,28,77,,24,77
Karimnagar,Godavarikhani,JUN,2017,7.8,25.7,67,,23,67
Karimnagar,Godavarikhani,JUL,2017,7,25,40,,22,41
Karimnagar,Godavarikhani,AUG,2017,7,24,47,,22,62
Karimnagar,Godavarikhani,SEP,2017,7,23,69,,21,69
Karimnagar,Godavarikhani,OCT,2017,8,26,68,,23,71
Karimnagar,Godavarikhani,NOV,2017,8,26,81,,22,81
Karimnagar,Godavarikhani,DEC,2017,8.4,26.2,85,,24,85
Karimnagar,DIC Building,JAN,2017,7,25,84,,25,84
Karimnagar,DIC Building,FEB,2017,7,31,75,,26,75
Karimnagar,DIC Building,MAR,2017,8,26,86,,24,86
Karimnagar,DIC Building,APR,2017,8,26,79,,25,79
Karimnagar,DIC Building,MAY,2017,7,27,82,,24,82
Karimnagar,DIC Building,JUN,2017,6.6,22,59,,23,59
Karimnagar,DIC Building,JUL,2017,7,27,51,,22,55
Karimnagar,DIC Building,AUG,2017,6,26,56,,25,55
Karimnagar,DIC Building,SEP,2017,7,22,62,,21,62
Karimnagar,DIC Building,OCT,2017,8,32,69,,39,71
Karimnagar,DIC Building,NOV,2017,7,22,91,,26,91
Karimnagar,DIC Building,DEC,2017,7.7,26.7,90,,26,90
Khammam,Jalasouda,JAN,2017,7,27,60,,21,60
Khammam,Jalasouda,FEB,2017,8,26,64,,23,64
Khammam,Jalasouda,MAR,2017,8,28,54,,27,54
Khammam,Jalasouda,APR,2017,8,27,54,,23,55
Khammam,Jalasouda,MAY,2017,8,27,57,,23,57
Khammam,Jalasouda,JUN,2017,7.4,24,42,,23,42
Khammam,Jalasouda,JUL,2017,7,22,38,,22,41
Khammam,Jalasouda,AUG,2017,6,23,64,,21,53
Khammam,Jalasouda,SEP,2017,7,22,50,,19,50
Khammam,Jalasouda,OCT,2017,7,19,63,,29,63
Khammam,Jalasouda,NOV,2017,7,20,54,,32,54
Khammam,Jalasouda,DEC,2017,7.7,26.3,60,,26,60
Adilabad,Mandamarri,JAN,2016,-,-,62,-,-,67
Adilabad,Mandamarri,FEB,2016,-,-,68,-,-,68
Adilabad,Mandamarri,MAR,2016,-,-,71,-,-,71
Adilabad,Mandamarri,APR,2016,-,-,70,-,-,70
Adilabad,Mandamarri,MAY,2016,-,-,69,40,-,71
Adilabad,Mandamarri,JUN,2016,4,15,66,40,21,40
Adilabad,Mandamarri,JUL,2016,4,16,60,30,21,60
Adilabad,Mandamarri,AUG,2016,4,17,61,29,21,61
Adilabad,Mandamarri,SEP,2016,5,18,58,28,21,58
Adilabad,Mandamarri,OCT,2016,5,22,67,33,21,67
Adilabad,Mandamarri,NOV,2016,5,20,63,30,21,63
Adilabad,Mandamarri,DEC,2016,5,21,65,34,21,65
Nizamabad,Subhasnagar,JAN,2016,-,-,67,-,-,62
Nizamabad,Subhasnagar,FEB,2016,-,-,64,-,-,64
Nizamabad,Subhasnagar,MAR,2016,-,-,66,-,-,66
Nizamabad,Subhasnagar,APR,2016,-,-,68,-,-,68
Nizamabad,Subhasnagar,MAY,2016,-,-,71,43,-,69
Nizamabad,Subhasnagar,JUN,2016,4,15,61,38,21,38
Nizamabad,Subhasnagar,JUL,2016,4,17,57,28,21,57
Nizamabad,Subhasnagar,AUG,2016,5,18,58,28,21,58
Nizamabad,Subhasnagar,SEP,2016,5,18,56,27,21,56
Nizamabad,Subhasnagar,OCT,2016,6,22,64,32,21,64
Nizamabad,Subhasnagar,NOV,2016,5,21,60,29,21,60
Nizamabad,Subhasnagar,DEC,2016,5,21,62,32,21,62
Warangal,KUDA,JAN,2016,7,20,73,,22,73
Warangal,KUDA,FEB,2016,7,20,72,,21,72
Warangal,KUDA,MAR,2016,6.7,22.8,68,,22,68
Warangal,KUDA,APR,2016,7,28,74,,21,74
Warangal,KUDA,MAY,2016,8,22,76,,21,76
Warangal,KUDA,JUN,2016,7,20,72,,21,72
Warangal,KUDA,JUL,2016,7,22,51,,18,57
Warangal,KUDA,AUG,2016,6,20,44,,20,44
Warangal,KUDA,SEP,2016,8,25,46,,20,48
Warangal,KUDA,OCT,2016,7,26,62,,22,62
Warangal,KUDA,NOV,2016,7,23,56,,22,56
Warangal,KUDA,DEC,2016,8,30,83,,22,83
Warangal,Mee-Seva,JAN,2016,7,26,76,,22,76
Warangal,Mee-Seva,FEB,2016,7,19,72,,21,72
Warangal,Mee-Seva,MAR,2016,7.1,21.8,63,,24,63
Warangal,Mee-Seva,APR,2016,7,20,73,,21,73
Warangal,Mee-Seva,MAY,2016,8,19,84,,21,84
Warangal,Mee-Seva,JUN,2016,7,22,68,,28,68
Warangal,Mee-Seva,JUL,2016,7,20,56,,24,63
Warangal,Mee-Seva,AUG,2016,7,28,36,,22,38
Warangal,Mee-Seva,SEP,2016,7,20,52,,20,52
Warangal,Mee-Seva,OCT,2016,7,22,61,,22,61
Warangal,Mee-Seva,NOV,2016,6,22,83,,21,83
Warangal,Mee-Seva,DEC,2016,8,30,84,,23,84
Karimnagar,Godavarikhani,JAN,2016,9,21,115,,31,108
Karimnagar,Godavarikhani,FEB,2016,10,26,93,,29,92
Karimnagar,Godavarikhani,MAR,2016,9,36,76,,25,76
Karimnagar,Godavarikhani,APR,2016,8,34,74,,25,74
Karimnagar,Godavarikhani,MAY,2016,9,30,56,,22,56
Karimnagar,Godavarikhani,JUN,2016,7,31,41,,23,45
Karimnagar,Godavarikhani,JUL,2016,7,23,23,,18,36
Karimnagar,Godavarikhani,AUG,2016,7,25,41,,21,41
Karimnagar,Godavarikhani,SEP,2016,8,28,35,,21,38
Karimnagar,Godavarikhani,OCT,2016,8,26,58,,21,59
Karimnagar,Godavarikhani,NOV,2016,7,29,98,,25,94
Karimnagar,Godavarikhani,DEC,2016,8,27,106,,22,104
Karimnagar,DIC Building,JAN,2016,8,22,69,,27,69
Karimnagar,DIC Building,FEB,2016,9,25,59,,24,59
Karimnagar,DIC Building,MAR,2016,7.7,32.1,42,,25,44
Karimnagar,DIC Building,APR,2016,7,29,62,,21,62
Karimnagar,DIC Building,MAY,2016,5,21,52,,23,52
Karimnagar,DIC Building,JUN,2016,5,19,47,,21,48
Karimnagar,DIC Building,JUL,2016,4,20,23,,23,32
Karimnagar,DIC Building,AUG,2016,6,20,33,,21,36
Karimnagar,DIC Building,SEP,2016,6,23,29,,21,31
Karimnagar,DIC Building,OCT,2016,6,23,50,,25,56
Karimnagar,DIC Building,NOV,2016,7,23,69,,22,69
Karimnagar,DIC Building,DEC,2016,7,26,83,,24,84
Khammam,Jalasouda,JAN,2016,6,19,46,,-,47
Khammam,Jalasouda,FEB,2016,7,19,51,,-,51
Khammam,Jalasouda,MAR,2016,6.1,20.7,54,,-,54
Khammam,Jalasouda,APR,2016,8,19,51,,-,51
Khammam,Jalasouda,MAY,2016,7,19,47,,-,47
Khammam,Jalasouda,JUN,2016,5,21,47,,20,47
Khammam,Jalasouda,JUL,2016,8,22,41,,22,41
Khammam,Jalasouda,AUG,2016,5,14,37,,20,37
Khammam,Jalasouda,SEP,2016,8,17,39,,21,39
Khammam,Jalasouda,OCT,2016,7,23,48,,21,48
Khammam,Jalasouda,NOV,2016,7,24,55,,28,55
Khammam,Jalasouda,DEC,2016,8,27,60,,22,60
