,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
101,Nizamabad,JUN,2021,01-06-21,30-06-21,1622485800,1624991400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
102,Nizamabad,JUL,2021,01-07-21,31-07-21,1625077800,1627669800,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
103,Nizamabad,AUG,2021,01-08-21,31-08-21,1627756200,1630348200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
104,Nizamabad,SEP,2021,01-09-21,30-09-21,1630434600,1632940200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
105,Nizamabad,OCT,2021,01-10-21,31-10-21,1633026600,1635618600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
106,Nizamabad,NOV,2021,01-11-21,30-11-21,1635705000,1638210600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
107,Nizamabad,DEC,2021,01-12-21,31-12-21,1638297000,1640889000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
108,Warangal,JAN,2021,01-01-21,31-01-21,1609439400,1612031400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
109,Warangal,FEB,2021,01-02-21,28-02-21,1612117800,1614450600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
110,Warangal,MAR,2021,01-03-21,31-03-21,1614537000,1617129000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
111,Warangal,APR,2021,01-04-21,30-04-21,1617215400,1619721000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
112,Warangal,MAY,2021,01-05-21,31-05-21,1619807400,1622399400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
113,Warangal,JUN,2021,01-06-21,30-06-21,1622485800,1624991400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
114,Warangal,JUL,2021,01-07-21,31-07-21,1625077800,1627669800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
115,Warangal,AUG,2021,01-08-21,31-08-21,1627756200,1630348200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
116,Warangal,SEP,2021,01-09-21,30-09-21,1630434600,1632940200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
117,Warangal,OCT,2021,01-10-21,31-10-21,1633026600,1635618600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
118,Warangal,NOV,2021,01-11-21,30-11-21,1635705000,1638210600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
119,Warangal,DEC,2021,01-12-21,31-12-21,1638297000,1640889000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
120,Warangal,JAN,2021,01-01-21,31-01-21,1609439400,1612031400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
121,Warangal,FEB,2021,01-02-21,28-02-21,1612117800,1614450600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
122,Warangal,MAR,2021,01-03-21,31-03-21,1614537000,1617129000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
123,Warangal,APR,2021,01-04-21,30-04-21,1617215400,1619721000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
124,Warangal,MAY,2021,01-05-21,31-05-21,1619807400,1622399400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
125,Warangal,JUN,2021,01-06-21,30-06-21,1622485800,1624991400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
126,Warangal,JUL,2021,01-07-21,31-07-21,1625077800,1627669800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
127,Warangal,AUG,2021,01-08-21,31-08-21,1627756200,1630348200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
128,Warangal,SEP,2021,01-09-21,30-09-21,1630434600,1632940200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
129,Warangal,OCT,2021,01-10-21,31-10-21,1633026600,1635618600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
130,Warangal,NOV,2021,01-11-21,30-11-21,1635705000,1638210600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
131,Warangal,DEC,2021,01-12-21,31-12-21,1638297000,1640889000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
132,Karimnagar,JAN,2021,01-01-21,31-01-21,1609439400,1612031400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
133,Karimnagar,FEB,2021,01-02-21,28-02-21,1612117800,1614450600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
134,Karimnagar,MAR,2021,01-03-21,31-03-21,1614537000,1617129000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
135,Karimnagar,APR,2021,01-04-21,30-04-21,1617215400,1619721000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
136,Karimnagar,MAY,2021,01-05-21,31-05-21,1619807400,1622399400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
137,Karimnagar,JUN,2021,01-06-21,30-06-21,1622485800,1624991400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
138,Karimnagar,JUL,2021,01-07-21,31-07-21,1625077800,1627669800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
139,Karimnagar,AUG,2021,01-08-21,31-08-21,1627756200,1630348200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
140,Karimnagar,SEP,2021,01-09-21,30-09-21,1630434600,1632940200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
141,Karimnagar,OCT,2021,01-10-21,31-10-21,1633026600,1635618600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
142,Karimnagar,NOV,2021,01-11-21,30-11-21,1635705000,1638210600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
143,Karimnagar,DEC,2021,01-12-21,31-12-21,1638297000,1640889000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
144,Karimnagar,JAN,2021,01-01-21,31-01-21,1609439400,1612031400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
145,Karimnagar,FEB,2021,01-02-21,28-02-21,1612117800,1614450600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
146,Karimnagar,MAR,2021,01-03-21,31-03-21,1614537000,1617129000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
147,Karimnagar,APR,2021,01-04-21,30-04-21,1617215400,1619721000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
148,Karimnagar,MAY,2021,01-05-21,31-05-21,1619807400,1622399400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
149,Karimnagar,JUN,2021,01-06-21,30-06-21,1622485800,1624991400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
150,Karimnagar,JUL,2021,01-07-21,31-07-21,1625077800,1627669800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
151,Karimnagar,AUG,2021,01-08-21,31-08-21,1627756200,1630348200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
152,Karimnagar,SEP,2021,01-09-21,30-09-21,1630434600,1632940200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
153,Karimnagar,OCT,2021,01-10-21,31-10-21,1633026600,1635618600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
154,Karimnagar,NOV,2021,01-11-21,30-11-21,1635705000,1638210600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
155,Karimnagar,DEC,2021,01-12-21,31-12-21,1638297000,1640889000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
156,Khammam,JAN,2021,01-01-21,31-01-21,1609439400,1612031400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
157,Khammam,FEB,2021,01-02-21,28-02-21,1612117800,1614450600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
158,Khammam,MAR,2021,01-03-21,31-03-21,1614537000,1617129000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
159,Khammam,APR,2021,01-04-21,30-04-21,1617215400,1619721000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
160,Khammam,MAY,2021,01-05-21,31-05-21,1619807400,1622399400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
161,Khammam,JUN,2021,01-06-21,30-06-21,1622485800,1624991400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
162,Khammam,JUL,2021,01-07-21,31-07-21,1625077800,1627669800,"Khammam, Telangana, India",lat=17.5&lon=80.333333
163,Khammam,AUG,2021,01-08-21,31-08-21,1627756200,1630348200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
164,Khammam,SEP,2021,01-09-21,30-09-21,1630434600,1632940200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
165,Khammam,OCT,2021,01-10-21,31-10-21,1633026600,1635618600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
166,Khammam,NOV,2021,01-11-21,30-11-21,1635705000,1638210600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
167,Khammam,DEC,2021,01-12-21,31-12-21,1638297000,1640889000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
168,Adilabad,JAN,2020,01-01-20,31-01-20,1577817000,1580409000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
169,Adilabad,FEB,2020,01-02-20,29-02-20,1580495400,1582914600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
